kind,model,N,fold,l.0,l.1,0,1,2,3,4,5,6
total,gpr.v.a,240,1,0,2,0.000168,0.000118,0.000081,0.000053,0.000029,0.000010,0.000000
total,gpr.v.a,240,1,1,0,0.000202,0.000119,0.000078,0.000043,0.000021,0.000008,0.000000
total,gpr.v.a,240,1,1,1,0.000619,0.000227,0.000146,0.000058,0.000032,0.000013,0.000000
total,gpr.v.a,240,1,1,2,0.000218,0.000127,0.000082,0.000047,0.000023,0.000007,0.000000
total,gpr.v.a,240,1,2,0,0.000168,0.000118,0.000081,0.000053,0.000029,0.000010,0.000000
total,gpr.v.a,240,1,2,1,0.000218,0.000127,0.000082,0.000047,0.000023,0.000007,0.000000
total,gpr.v.a,240,1,2,2,0.000386,0.000307,0.000205,0.000152,0.000069,0.000017,-0.000000
total,gpr.v.a,240,2,0,0,0.000283,0.000196,0.000127,0.000088,0.000038,0.000016,-0.000000
total,gpr.v.a,240,2,0,1,0.000313,0.000227,0.000140,0.000081,0.000034,0.000015,-0.000000
total,gpr.v.a,240,2,0,2,0.000337,0.000249,0.000172,0.000125,0.000056,0.000027,0.000000
total,gpr.v.a,240,2,1,0,0.000313,0.000227,0.000140,0.000081,0.000034,0.000015,-0.000000
total,gpr.v.a,240,2,1,1,0.000900,0.000478,0.000290,0.000110,0.000048,0.000019,-0.000000
total,gpr.v.a,240,2,1,2,0.000442,0.000298,0.000193,0.000111,0.000040,0.000014,-0.000000
total,gpr.v.a,240,2,2,0,0.000337,0.000249,0.000172,0.000125,0.000056,0.000027,0.000000
total,gpr.v.a,240,2,2,1,0.000442,0.000298,0.000193,0.000111,0.000040,0.000014,-0.000000
total,gpr.v.a,240,2,2,2,0.001181,0.000889,0.000581,0.000464,0.000131,0.000039,-0.000000
total,gpr.v.a,240,3,0,0,0.000204,0.000138,0.000095,0.000059,0.000027,0.000012,0.000000
total,gpr.v.a,240,3,0,1,0.000228,0.000147,0.000093,0.000055,0.000025,0.000010,0.000000
total,gpr.v.a,240,3,0,2,0.000225,0.000150,0.000113,0.000079,0.000037,0.000014,0.000000
total,gpr.v.a,240,3,1,0,0.000228,0.000147,0.000093,0.000055,0.000025,0.000010,0.000000
total,gpr.v.a,240,3,1,1,0.000628,0.000287,0.000147,0.000065,0.000031,0.000008,-0.000000
total,gpr.v.a,240,3,1,2,0.000302,0.000182,0.000131,0.000091,0.000034,0.000007,0.000000
total,gpr.v.a,240,3,2,0,0.000225,0.000150,0.000113,0.000079,0.000037,0.000014,0.000000
total,gpr.v.a,240,3,2,1,0.000302,0.000182,0.000131,0.000091,0.000034,0.000007,0.000000
total,gpr.v.a,240,3,2,2,0.000750,0.000535,0.000446,0.000348,0.000126,0.000029,0.000000
total,gpr.v.a,240,4,0,0,0.000209,0.000139,0.000097,0.000060,0.000037,0.000015,-0.000000
total,gpr.v.a,240,4,0,1,0.000210,0.000135,0.000090,0.000051,0.000030,0.000012,0.000000
total,gpr.v.a,240,4,0,2,0.000202,0.000144,0.000104,0.000065,0.000039,0.000016,-0.000000
total,gpr.v.a,240,4,1,0,0.000210,0.000135,0.000090,0.000051,0.000030,0.000012,0.000000
total,gpr.v.a,240,4,1,1,0.000608,0.000239,0.000158,0.000075,0.000045,0.000015,0.000000
total,gpr.v.a,240,4,1,2,0.000264,0.000164,0.000105,0.000060,0.000030,0.000010,0.000000
total,gpr.v.a,240,4,2,0,0.000202,0.000144,0.000104,0.000065,0.000039,0.000016,-0.000000
total,gpr.v.a,240,4,2,1,0.000264,0.000164,0.000105,0.000060,0.000030,0.000010,0.000000
total,gpr.v.a,240,4,2,2,0.000549,0.000454,0.000318,0.000195,0.000086,0.000026,0.000000
total,gpr.v.a,300,5,0,0,0.000135,0.000089,0.000057,0.000034,0.000016,0.000007,0.000000
total,gpr.v.a,300,5,0,1,0.000144,0.000091,0.000057,0.000029,0.000015,0.000006,0.000000
total,gpr.v.a,300,5,0,2,0.000140,0.000096,0.000065,0.000039,0.000020,0.000009,0.000000
total,gpr.v.a,300,5,1,0,0.000144,0.000091,0.000057,0.000029,0.000015,0.000006,0.000000
total,gpr.v.a,300,5,1,1,0.000403,0.000175,0.000106,0.000045,0.000022,0.000008,-0.000000
total,gpr.v.a,300,5,1,2,0.000181,0.000111,0.000071,0.000038,0.000016,0.000005,-0.000000
total,gpr.v.a,300,5,2,0,0.000140,0.000096,0.000065,0.000039,0.000020,0.000009,0.000000
total,gpr.v.a,300,5,2,1,0.000181,0.000111,0.000071,0.000038,0.000016,0.000005,-0.000000
total,gpr.v.a,300,5,2,2,0.000368,0.000284,0.000193,0.000124,0.000050,0.000015,-0.000000
